source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,Aspect,Slope,temperature,precipitation,wind_speed,event_year,event_month,event_day,event_weekday,season_encoded,event_hour,time_of_day_encoded,risk_zone,distance_to_nearest_landslide,location_risk_score,landslide_occurred
United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/MCON-74J2QF?OpenDocument,102,2007-06-25, 12:00:00 AM,Kurnool,United Nations Development Programme - Relief Web,Kurnool,25km,landslide,rain,medium,unknown,,,,,,glc,102,India,IN,Andhra Pradesh,14060,Ālampur,10.53686,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,78.0501,15.8294,0.0,0.0,23.7,0.5,11.2,2007,6,25,0,1,0,0,2.0,1617.5038411814671,0,
United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/MCON-74J2QF?OpenDocument,97,2007-06-25, 12:00:00 AM,Ratnagiri,18 deaths and 7 injuries reported b/w Ratnagiri and Mumbai,Ratnagiri,25km,landslide,rain,medium,unknown,18.0,,,,,glc,97,India,IN,Maharashtra,13121,Lānja,11.96851,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,73.5189,16.9648,0.0,0.0,25.0,0.6,12.6,2007,6,25,0,1,0,0,3.0,1818.044663452268,0,
United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/MCON-74J2QF?OpenDocument,99,2007-06-25, 12:00:00 AM,Mumbai,LS info,Mumbai,25km,landslide,rain,medium,unknown,2.0,,,,,glc,99,India,IN,Maharashtra,12691836,Mumbai,5.589,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,72.9104,19.0298,,,25.7,0.5,15.6,2007,6,25,0,1,0,0,3.0,1597.0661239719348,0,
United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/MCON-74J2QF?OpenDocument,104,2007-06-25, 12:00:00 AM,Prakasam,United Nations Development Programme - Relief Web,Prakasam,unknown,landslide,rain,medium,unknown,,,,,,glc,104,India,IN,Andhra Pradesh,38714,Kondapalle,8.53133,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,80.6128,16.6252,0.0,0.0,25.4,0.7,6.7,2007,6,25,0,1,0,0,2.0,1381.8145416901373,0,
United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/MCON-74J2QF?OpenDocument,98,2007-06-25, 12:00:00 AM,Karimnagar,10 deaths reported b/w Karimnagar and Kurnool,Karimnagar,25km,landslide,rain,medium,unknown,10.0,,,,,glc,98,India,IN,Andhra Pradesh,228745,Karīmnagar,2.36029,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,79.1492,18.431,0.0,0.0,24.6,0.0,11.4,2007,6,25,0,1,0,0,3.0,1324.0812123298128,0,
United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/MCON-74J2QF?OpenDocument,103,2007-06-25, 12:00:00 AM,Cuddappa,United Nations Development Programme - Relief Web,Cuddappa,25km,landslide,rain,medium,unknown,,,,,,glc,103,India,IN,Andhra Pradesh,127010,Cuddapah,0.87095,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,78.8205,14.4702,0.0,0.0,24.4,0.2,6.9,2007,6,25,0,1,0,0,2.0,1688.0215223814437,0,
Red Cross - Field reports,https://web.archive.org/web/20090211075301/http://tribuneindia.com/2007/20070703/j&k.htm#1,111,2007-07-02, 12:00:00 AM,Jammu-Srinagar highway between Ramban and Srinagar,2356 pilgrims stranded,Jammu-Srinagar highway between Ramban and Srinagar,25km,landslide,downpour,medium,unknown,,,,,,glc,111,India,IN,Kashmir,7317,Rāmban,0.16739,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,75.22742083,33.2443135,,,23.5,0.0,4.6,2007,7,2,0,2,0,0,0.0,0.4206789882686408,0,
thestatesman.net,http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=162949,126,2007-07-16, 12:00:00 AM,Bardang near Singtam,closest to predicted location of Gauhati (336.70 km),Bardang near Singtam,25km,mudslide,rain,medium,unknown,,,,,,glc,126,India,IN,Sikkim,1147,Namchi,2.01104,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,88.38,27.1499,157.511779785156,89.9991149902344,21.0,2.4,4.1,2007,7,16,0,2,0,0,4.0,30.692450841173503,0,
Saharas Samay,http://www.saharasamay.com/samayhtml/articles.aspx?newsid=80536,130,2007-07-19, 12:00:00 AM,Guwahati,closest to predicted location of Gauhati (167.34 km),Guwahati,25km,landslide,rain,medium,unknown,6.0,,,,,glc,130,India,IN,Assam,2000,Dispur,3.80164,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,91.7986,26.1699,279.459716796875,89.9995193481445,25.6,0.3,2.3,2007,7,19,3,2,0,0,1.0,333.3586019753259,0,
Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2971,131,2007-07-20, 12:00:00 AM,4 locations in the Kannur district,affected road connectivity for villages,4 locations in the Kannur district,10km,landslide,downpour,medium,unknown,,,,,,glc,131,India,IN,Kerala,62836,Cannanore,1.43277,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,75.361,11.855,45.0,0.0,24.2,0.0,2.0,2007,7,20,4,2,0,0,2.0,79.28002053171673,0,
Zeenews.com,,133,2007-07-21, 12:00:00 AM,Beldanga,closest to predicted location of Kalingapatam (760.60 km),Beldanga,50km,landslide,rain,medium,unknown,1.0,,,,,glc,133,India,IN,Bengal,27489,Beldānga,2.35894,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,88.2374,23.9304,0.0,0.0,25.9,1.9,9.9,2007,7,21,5,2,0,0,4.0,312.04486921232666,0,
thestatesman.net,http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=164069,141,2007-07-26, 12:00:00 AM,Singtam,closest to predicted location of Shillong (397.72 km),Singtam,50km,landslide,rain,medium,unknown,,,,,,glc,141,India,IN,Meghālaya,11090,Cherrapunji,19.36242,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,91.88,25.38,0.0,0.0,19.0,1.3,9.3,2007,7,26,3,2,0,0,1.0,88.21036432364396,0,
Telegraph India,http://telegraphindia.com/1070728/asp/frontpage/story_8116912.asp,142,2007-07-27, 12:00:00 AM,Tura,closest to predicated location of Shillong (138.89 km),Tura,10km,rock_fall,rain,large,unknown,8.0,,,,,glc,142,India,IN,Meghālaya,63645,Tura,0.94369,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,90.232,25.5212,0.0,0.0,21.5,0.5,10.2,2007,7,27,4,2,0,0,4.0,166.20837542716865,0,
Oheraldo news,http://oheraldo.in/node/27006,143,2007-07-28, 12:00:00 AM,Vasco,closest to predicted location of Alibag (383.81 km),Vasco,5km,landslide,rain,medium,unknown,,,,,,glc,143,India,IN,Goa,100485,Vāsco Da Gāma,1.42927,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,73.8277,15.4014,135.0,89.9996871948242,25.3,1.1,8.8,2007,7,28,5,2,0,0,3.0,176.94219586158508,0,
Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987,148,2007-07-30, 12:00:00 AM,Saiha,road networks disrupted,Saiha,25km,landslide,downpour,medium,unknown,,,,,,glc,148,India,IN,Mizoram,22654,Saiha,2.05477,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,92.967,22.479,0.0,0.0,21.5,0.0,2.9,2007,7,30,0,2,0,0,1.0,340.9654748841597,0,
Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987,146,2007-07-30, 12:00:00 AM,Uttarkashi district,"Dhaulapani towards Narender Nagar, Uttarkashi-Tehri Marg",Uttarkashi district,50km,landslide,downpour,medium,unknown,2.0,,,,,glc,146,India,IN,Uttarakhand,17123,Uttarkāshi,0.54749,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,78.439,30.733,19.3857803344727,90.0,19.5,0.6,1.3,2007,7,30,0,2,0,0,0.0,411.5016917459536,0,
Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987,149,2007-07-30, 12:00:00 AM,Joshimath,Pipalkothi,Joshimath,50km,landslide,downpour,medium,unknown,,,,,,glc,149,India,IN,Uttarakhand,13865,Joshīmath,0.6405,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,79.56,30.557,205.522979736328,90.0,18.4,0.3,3.4,2007,7,30,0,2,0,0,0.0,506.0208909904486,0,
Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987,150,2007-07-30, 12:00:00 AM,Chamoli,"Lambagarh and Makhari areas, Chamoli-Joshimuth Marg",Chamoli,50km,landslide,downpour,medium,unknown,,,,,,glc,150,India,IN,Uttarakhand,2000,Pīpalkoti,8.34102,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,79.349,30.4,275.081176757812,90.0,19.2,0.1,3.1,2007,7,30,0,2,0,0,0.0,501.1621212664009,0,
Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987,147,2007-07-30, 12:00:00 AM,Lawngtlai,road networks disrupted,Lawngtlai,25km,landslide,downpour,medium,unknown,,,,,,glc,147,India,IN,Mizoram,22654,Saiha,9.62825,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,92.899,22.533,0.0,0.0,20.0,0.0,2.9,2007,7,30,0,2,0,0,1.0,333.0712565826683,0,
thestatesman.net,http://www.thestatesman.net/page.news.php?clid=1&theme=&usrsess=1&id=164902,151,2007-08-02, 12:00:00 AM,Kurseong,closest to predicted location of Ranchi (480.53),Kurseong,25km,mudslide,rain,medium,unknown,3.0,,,,,glc,151,India,IN,Bengal,46427,Kārsiyāng,0.89953,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,88.2789,26.8905,48.6460647583008,89.9989166259766,18.1,1.3,1.1,2007,8,2,3,2,0,0,4.0,21.80593841247437,0,
Kashmir Observer.com,http://www.kashmirobserver.com/index.php?id=2992,157,2007-08-06, 12:00:00 AM,"Srinagar-Jammu Highway, Rāmban District",blocked highway near Nandni Bridge,"Srinagar-Jammu Highway, Rāmban District",25km,landslide,rain,medium,unknown,,,,,,glc,157,India,IN,Kashmir,7317,Rāmban,1.36072,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,75.2257,33.2451,,,23.7,0.3,4.7,2007,8,6,0,2,0,0,0.0,0.1823687541463442,0,
navhindtimes.com,http://www.navhindtimes.com/articles.php?Story_ID=080842,162,2007-08-07, 12:00:00 AM,Canacona,closest to predicted location of Honavar (137.10 km),Canacona,10km,landslide,rain,medium,unknown,,,,,,glc,162,India,IN,Goa,12444,Kānkon,2.26279,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,74.0253,15.0296,227.489547729492,89.9995727539062,24.7,1.7,20.2,2007,8,7,1,2,0,0,3.0,46.46190004793561,0,
Daijiworld.com,,166,2007-08-09, 12:00:00 AM,Mangalore,closest to predicted location of Dahanu (792.36 km),Mangalore,10km,landslide,rain,medium,unknown,,,,,,glc,166,India,IN,Karnataka,417387,Mangalore,4.93601,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,74.8481,12.8733,360.0,89.9998321533203,24.0,1.7,12.9,2007,8,9,3,2,0,0,2.0,126.19208084586006,0,
Asian News International - Daily India,http://www.dailyindia.com/show/164988.php/Landslides-leave-scores-of-passengers-stranded-in-Uttarakhand,173,2007-08-11, 12:00:00 AM,Rishikesh,closest to predicted location of Dharmpur (128.85 km),Rishikesh,unknown,landslide,rain,medium,unknown,,,,,,glc,173,India,IN,Uttarakhand,13058,Birbhaddar,2.00924,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,78.3027,30.0702,53.086124420166,90.0,24.9,2.0,4.0,2007,8,11,5,2,0,0,0.0,74.85036333529281,0,
Himachal news,http://himachal.us/2007/08/13/11-dead-in-himachal-as-rain-throws-life-out-of-gear/2654/general/himachal-news,177,2007-08-12, 12:00:00 AM,"Himachal Pradesh, all over",Himachal news,"Himachal Pradesh, all over",unknown,landslide,rain,medium,unknown,11.0,,,,,glc,177,India,IN,Himachal Pradesh,14182,Kyelang,56.12845,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,77.5914,32.7334,,,1.3,0.0,2.8,2007,8,12,6,2,0,0,0.0,227.29407035378392,0,
The hindu.com,http://www.hindu.com/thehindu/holnus/004200708121524.htm,178,2007-08-12, 12:00:00 AM,Kangra,closest to predicted location of Dharmsala (13.24 km),Kangra,25km,landslide,rain,large,unknown,2.0,,,,,glc,178,India,IN,Himachal Pradesh,9158,Kāngra,1.0057,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,76.2665,32.0985,0.0,0.0,22.4,5.9,0.7,2007,8,12,6,2,0,0,0.0,159.87930551081155,0,
The hindu.com,,181,2007-08-13, 12:00:00 AM,Koti railway station,closest to predicted location of Sambalpur (777.56 km),Koti railway station,5km,landslide,rain,medium,unknown,,,,,,glc,181,India,IN,Andhra Pradesh,53622,Gaddi Annaram,3.66644,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,78.499,17.3895,0.0,0.0,22.4,0.0,20.9,2007,8,13,0,2,0,0,3.0,134.70156440771004,0,
One India,http://news.oneindia.in/2007/08/18/cm-visits-cloudburst-affected-ghanvi-village-1187458326.html,183,2007-08-14, 12:00:00 AM,"Himachal Pradesh, Shimla district, Ghanvi village","Really bad event, killed an entire village, *triggered from a cloudburst","Himachal Pradesh, Shimla district, Ghanvi village",50km,complex,downpour,very_large,unknown,52.0,,,,,glc,183,India,IN,Rajasthan,41710,Bilāra,10.50149,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,73.6106,26.2208,0.0,0.0,25.1,0.1,19.9,2007,8,14,1,2,0,0,0.0,628.2354204648932,0,
The hindu.com,http://www.hindu.com/thehindu/holnus/004200708261441.htm,210,2007-08-25, 12:00:00 AM,"Hattisurey in Kalimpong, on National Highway 31A","major landslide along road, closed for over 1 week, lifeline to Sikkim","Hattisurey in Kalimpong, on National Highway 31A",25km,landslide,rain,medium,unknown,,,,,,glc,210,India,IN,Bengal,43000,Kālimpang,3.41647,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,88.4308,27.0713,321.336975097656,89.9992065429688,25.4,0.5,2.1,2007,8,25,5,2,0,0,4.0,10.08305511401922,0,
Newspost India.com,http://newspostindia.com/report-12963,212,2007-08-26, 12:00:00 AM,National Highway No 44 at Sonarpur in Meghalaya,"blocked road for several days, 2 days continuous rain, event occurred at 3:30pm",National Highway No 44 at Sonarpur in Meghalaya,unknown,complex,rain,medium,unknown,,,,,,glc,212,India,IN,Meghālaya,132842,Shillong,3.50078,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,91.8506,25.5576,0.0,0.0,18.4,0.0,3.3,2007,8,26,6,2,0,0,1.0,19.96757966926461,0,
kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39058&typeid=1,211,2007-08-26, 12:00:00 AM,Tamenglong,"man killed along road cut, many events in this area affecting people and livestock, occurred at 5:30 pm",Tamenglong,5km,mudslide,continuous_rain,medium,unknown,1.0,,3 days of rain,,,glc,211,India,IN,Manipur,223523,Imphal,43.53546,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,93.55,24.9667,0.0,0.0,22.1,9.6,5.8,2007,8,26,6,2,0,0,1.0,174.22804819451002,0,
Telegraph India,http://www.telegraphindia.com/1070830/asp/northeast/story_8253906.asp,213,2007-08-26, 12:00:00 AM,Shillong Road at Kuliang in the Jaintia Hills,Telegraph India,Shillong Road at Kuliang in the Jaintia Hills,unknown,landslide,rain,medium,unknown,,,,,,glc,213,India,IN,Assam,39982,Hāflong,23.42741,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,92.8339,25.2946,0.0,0.0,21.6,5.0,4.5,2007,8,26,6,2,0,0,1.0,96.33454925871663,0,
Newkerala,http://www.newkerala.com/july.php?action=fullnews&id=56364,215,2007-08-28, 12:00:00 AM,Phesema area at National Highway 39,multiple landslides in  the area causing road closures,Phesema area at National Highway 39,50km,landslide,rain,medium,unknown,1.0,,,,,glc,215,India,IN,Nāgāland,92113,Kohima,21.1995,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,93.9136,25.7428,0.0,0.0,23.0,0.0,4.1,2007,8,28,1,2,0,0,1.0,93.71380386830792,0,
thestatesman.net,http://www.thestatesman.net/page.arcview.php?clid=10&id=195422&usrsess=1,218,2007-08-29, 12:00:00 AM,"Ghayabari-Tindharia on National Highway 55, near Darjeeling hills",blocked Hwy 55 and railway transportation,"Ghayabari-Tindharia on National Highway 55, near Darjeeling hills",10km,landslide,rain,medium,unknown,,,,,,glc,218,India,IN,Bengal,123797,Dārjiling,2.88137,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,88.2548,27.0096,318.9521484375,89.9985504150391,13.5,0.0,2.2,2007,8,29,2,2,0,0,4.0,13.4570492992015,0,
kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39138&typeid=2,220,2007-08-31, 12:00:00 AM,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)","multiple events occurring over 3 days, isolated 70 villages along IT roadway","Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",25km,landslide,rain,medium,unknown,,,,,,glc,220,India,IN,Manipur,223523,Imphal,36.09995,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,93.9667,25.1333,0.0,0.0,20.4,0.0,0.8,2007,8,31,4,2,0,0,1.0,45.8826308922658,0,
ExpressIndia,http://cities.expressindia.com/fullstory.php?newsid=254038,221,2007-08-31, 12:00:00 AM,between Bally Halt and Rajchandrapur stations in Kolkata,"blocked railway, 8 feet deep and occurred at 4:40am",between Bally Halt and Rajchandrapur stations in Kolkata,10km,landslide,rain,medium,unknown,,,,,,glc,221,India,IN,Bengal,296973,Bāli,0.28925,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,88.3403,22.6461,0.0,0.0,26.0,0.0,6.0,2007,8,31,4,2,0,0,4.0,143.19402537345448,0,
The hindu.com,http://www.hindu.com/thehindu/holnus/004200709011250.htm,222,2007-09-01, 12:00:00 AM,Maharashta on Konkan Railway between Nivsur and Ratnagiri,"unsure of location, caused rail problems and stalled trains on west coast, ls occurred at 6am",Maharashta on Konkan Railway between Nivsur and Ratnagiri,unknown,landslide,rain,medium,unknown,1.0,,,,,glc,222,India,IN,Maharashtra,10000,Mākhjan,4.76264,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,73.5446,17.2634,0.0,0.0,23.4,0.9,12.1,2007,9,1,5,2,0,0,3.0,33.31499183422302,0,
The hindu.com,,231,2007-09-05, 12:00:00 AM,Darjeeling Hills (Lebong - 10 km from Darjeeling,"damaged structures in area, one debris flow hit a jeep at 7:30am",Darjeeling Hills (Lebong - 10 km from Darjeeling,5km,landslide,rain,medium,unknown,15.0,,,,,glc,231,India,IN,Bengal,123797,Dārjiling,0.79891,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,88.28121204,27.06826195,78.5309600830078,89.9894638061523,17.4,3.7,2.6,2007,9,5,2,2,0,0,4.0,7.027895974747783,0,
The hindu.com,,234,2007-09-05, 12:00:00 AM,Panthal in Jammu’s Ramban district on Srinagar-Jammu Highway,"occurred on road, disrupted traffic",Panthal in Jammu’s Ramban district on Srinagar-Jammu Highway,50km,landslide,rain,medium,unknown,,,,,,glc,234,India,IN,Kashmir,4209,Batoti,5.31733,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,75.3098,33.1662,,,21.7,0.0,2.1,2007,9,5,2,2,0,0,0.0,11.171051706648576,0,
The hindu.com,,237,2007-09-06, 12:00:00 AM,Pithoragarh,"wiped out village, swept three houses away and buried everyone",Pithoragarh,25km,landslide,rain,large,unknown,,,,,,glc,237,India,IN,Uttarakhand,47571,Pithorāgarh,0.70042,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,80.2167,29.5833,258.025329589844,90.0,18.4,1.0,2.3,2007,9,6,3,2,0,0,0.0,123.40898876609768,0,
thestatesman.net,http://www.thestatesman.net/page.news.php?clid=10&id=169368&usrsess=1,241,2007-09-07, 12:00:00 AM,"National Highway 31A between Rangpo and Tarkhola, in East Sikkim",over 18 places along road disrupted traffic and blocked areas,"National Highway 31A between Rangpo and Tarkhola, in East Sikkim",25km,landslide,rain,large,unknown,,,,,,glc,241,India,IN,,6133,Singtām,3.70067,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,88.4883,27.201,74.8936080932617,89.9989852905273,23.5,5.5,2.9,2007,9,7,4,2,0,0,4.0,12.126672220745752,0,
